id,code_cip,qr_code,nom,dci,nom_commercial_fr,nom_commercial_ar,dosage,unite,forme,categorie,presentation,ppv,ph,prix_br,prix_public,prix_achat,prix_vente,delai_appro,stock_min,stock_max,est_essentiel,est_controle,quantite,conditionnement,remarque,created_at,updated_at,forme_pharmaceutique,taux_remboursement,laboratoire,pays_origine,seuil_alerte,date_premption_alerte,classe_therapeutique,voie_administration,contre_indications,effets_indesirables,interactions_medicamenteuses,conditions_conservation,code_atc,est_psychotrope,est_ther_lourde,est_renouvelable,delai_renouvellement,image_url,code_barre,est_generique,est_perime,date_peremption,statut,updated_by,medicament_reference_id,created_by
,,,Spasfon 80mg,Phloroglucinol,Spasfon,سباسفون,80,mg,comprimé,Antispasmodique,Boîte de 30,9.000,7.500,6.500,6.800,4.800,6.800,5,15,90,1,0,88,30 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé enrobé,70%,Teva,France,20,2025-11-01,Spasmes digestifs,orale,Hypersensibilité,Rare allergie,Aucune connue,A temp ambiante,A03AX,0,0,1,0,,,1,0,2026-10-10,actif,1,,
,,,Topalgic 100mg,Tramadol,Topalgic,توبالجيك,100,mg,gélule,Antalgique opioïde,Boîte de 20,9.500,8.000,7.000,7.000,4.800,7.000,6,5,40,0,1,14,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Sanofi,France,30,2025-07-01,Douleur modérée à sévère,orale,Épilepsie,Nausées,IRS,Ordonnance sécurisée,N02AX02,0,0,1,0,,,0,0,2026-03-20,actif,1,,
,,,Rhinathiol 5%,Carbocistéine,Rhinathiol,ريناتيول,5,%,sirop,Mucolytique,Flacon 125ml,7.000,5.800,5.000,6.000,4.200,6.000,5,10,45,0,0,51,125 ml,,2025-01-01 00:00:00,2025-01-01 00:00:00,sirop,70%,Sanofi,France,20,2025-09-01,Toux grasse,orale,Ulcère,Nausées,Antitussifs,A temp ambiante,R05CB03,0,0,1,0,,,1,0,2026-05-05,actif,1,,
,,,Toplexil sirop,Oxomémazine,Toplexil,توبليكسيل,0.15,%,sirop,Antitussif,Flacon 125ml,7.500,6.200,5.500,5.400,3.800,5.400,5,10,50,0,0,39,125 ml,,2025-01-01 00:00:00,2025-01-01 00:00:00,sirop,70%,Sanofi,France,20,2025-10-01,Toux sèche,orale,Insuffisance respiratoire,Somnolence,Alcool,A temp ambiante,R05DB,0,0,1,0,,,1,0,2026-06-15,actif,1,,
,,,Zyrtec 10mg,Cétirizine,Zyrtec,زيرتيك,10,mg,comprimé,Antihistaminique,Boîte de 20,8.000,6.500,5.800,5.500,3.800,5.500,4,10,60,0,0,72,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,70%,UCB,Belgique,20,2025-08-01,Allergie,orale,Insuffisance rénale,Somnolence,Alcool,A temp ambiante,R06AE07,0,0,1,0,,,1,0,2026-09-01,actif,1,,
,,,Ponstyl 250mg,Acide méfénamique,Ponstyl,بونستيل,250,mg,gélule,Antalgique dysménorrhée,Boîte de 20,7.800,6.500,5.800,5.800,4.000,5.800,5,10,40,0,0,21,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Pfizer,France,25,2025-07-15,Douleurs menstruelles,orale,Ulcère,Nausées,AINS,A temp ambiante,M01AG,0,0,1,0,,,1,0,2026-04-10,actif,1,,
,,,Antadys,Spasfon+ Ibuprofène,Antadys,أنتاديس,80/400,mg,comprimé,Antispasmodique+Anti-inflammatoire,Boîte de 20,11.000,9.000,8.000,9.000,6.500,9.000,5,10,35,0,0,15,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé,70%,Teva,France,25,2025-09-01,Dysménorrhée,orale,Hypersensibilité,Nausées,AINS,A temp ambiante,G03X,0,0,1,0,,,0,0,2026-03-01,actif,1,,
,,,Lamaline,Paracétamol+ Codéine+ Caféine,Lamaline,لامالين,400/20/50,mg,gélule,Antalgique palier 2,Boîte de 18,9.500,8.200,7.200,9.800,6.800,9.800,6,5,30,0,1,12,18 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Sanofi,France,30,2025-06-01,Douleur sévère,orale,Insuffisance respiratoire,Constipation,Alcool,Ordonnance,N02BE51,0,0,1,0,,,0,0,2026-02-15,actif,1,,
,,,Advil rhume,Ibuprofène+Paracétamol,Advil Rhume,أدفيل روم,200/500,mg,comprimé,Antigrippal,Boîte de 12,8.000,6.800,6.000,6.500,4.500,6.500,5,10,60,0,0,34,12 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé effervescent,70%,Reckitt Benckiser,France,25,2025-12-31,Rhume,orale,Ulcère,Nausées,AINS,A temp ambiante,R05X,0,0,1,0,,,0,0,2026-07-20,actif,1,,
,,,Imodium 2mg,Lopéramide,Imodium,إيموديوم,2,mg,gélule,Antidiarrhéique,Boîte de 12,5.500,4.500,4.000,4.000,2.800,4.000,4,10,50,0,0,38,12 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Janssen,Belgique,20,2025-09-01,Diarrhée aiguë,orale,Colite pseudomembraneuse,Constipation,Antibiotiques,A temp ambiante,A07DA03,0,0,1,0,,,1,0,2026-08-01,actif,1,,
,,,Primperan 10mg,Metoclopramide,Primperan,بريمبيران,10,mg,comprimé,Antiémétique,Boîte de 30,6.000,5.000,4.500,3.500,2.500,3.500,4,10,45,0,0,41,30 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,70%,Sanofi,France,20,2025-10-01,Nausées,orale,Obstruction intestinale,Troubles extrapyramidaux,Neuroleptiques,A temp ambiante,A03FA01,0,0,1,0,,,1,0,2026-09-15,actif,1,,
,,,Smecta 3g,Smectite,Smecta,سميكتا,3,g,sachet,Antidiarrhéique,Boîte de 20,8.000,6.500,5.800,4.800,3.200,4.800,4,10,60,0,0,55,20 sachets,,2025-01-01 00:00:00,2025-01-01 00:00:00,poudre,70%,Ipsen,France,20,2025-08-01,Diarrhée,orale,Subocclusion,Constipation,Aucune,A temp ambiante,A07BC05,0,0,1,0,,,1,0,2026-10-01,actif,1,,
,,,Mopral 20mg,Oméprazole,Mopral,موبرال,20,mg,gélule,Anti-ulcéreux,Boîte de 14,6.500,5.200,4.800,5.500,3.800,5.500,5,10,55,0,0,49,14 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule gastrorésistante,100%,AstraZeneca,France,25,2025-07-01,RGO,orale,Hypersensibilité,Céphalées,Clopidogrel,A temp ambiante,A02BC01,0,0,1,0,,,1,0,2026-06-10,actif,1,,
,,,Glucophage 850mg,Metformine,Glucophage,جلوكوفاج,850,mg,comprimé,Antidiabétique,Boîte de 30,5.500,4.500,4.000,4.800,3.200,4.800,5,10,70,1,0,62,30 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,Merck,France,30,2025-12-31,Diabète type 2,orale,Insuffisance rénale,Troubles digestifs,Alcool,A temp ambiante,A10BA02,0,0,1,0,,,1,0,2026-11-01,actif,1,,
,,,Amlor 5mg,Amlodipine,Amlor,أملور,5,mg,comprimé,Antihypertenseur,Boîte de 28,7.000,5.800,5.200,6.000,4.200,6.000,5,10,50,1,0,45,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Pfizer,France,25,2025-08-01,Hypertension,orale,Hypotension sévère,Œdèmes,Kétoconazole,A temp ambiante,C08CA01,0,0,1,0,,,1,0,2026-07-15,actif,1,,
,,,Tahor 20mg,Atorvastatine,Tahor,تاهور,20,mg,comprimé,Hypolipémiant,Boîte de 28,9.000,7.500,6.800,9.000,6.200,9.000,6,10,45,0,0,33,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,Pfizer,France,25,2025-09-01,Hypercholestérolémie,orale,Hépatopathie active,Douleurs musculaires,Fibrates,A temp ambiante,C10AA05,0,0,1,0,,,1,0,2026-08-20,actif,1,,
,,,Plavix 75mg,Clopidogrel,Plavix,بلافيكس,75,mg,comprimé,Antiplaquettaire,Boîte de 28,15.000,12.000,11.000,14.000,9.500,14.000,6,10,40,0,0,27,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,Sanofi,France,20,2025-10-01,Prévention AVC,orale,Saignement actif,Hémorragie,Anticoagulants,A temp ambiante,B01AC04,0,0,1,0,,,1,0,2026-09-10,actif,1,,
,,,Zinnat 500mg,Céfuroxime,Zinnat,زينات,500,mg,comprimé,Antibiotique,Boîte de 12,16.000,13.000,12.000,17.500,12.000,17.500,6,5,30,0,0,18,12 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,GlaxoSmithKline,France,20,2025-07-01,Infections ORL,orale,Allergie aux céphalosporines,Diarrhée,Anticoagulants,Réfrigérateur,J01DC02,0,0,1,0,,,1,0,2026-03-25,actif,1,,
,,,Oroken 200mg,Céfixime,Oroken,أوروكين,200,mg,gélule,Antibiotique,Boîte de 10,12.000,10.000,9.000,12.200,8.500,12.200,5,10,50,0,0,44,10 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,100%,Sanofi,France,20,2025-08-01,Infections urinaires,orale,Allergie aux céphalosporines,Nausées,Aucune,A temp ambiante,J01DD08,0,0,1,0,,,1,0,2026-05-30,actif,1,,
,,,Zéclar 500mg,Clarithromycine,Zéclar,زيكلار,500,mg,comprimé,Antibiotique,Boîte de 14,14.000,11.500,10.500,15.000,10.500,15.000,6,5,35,0,0,15,14 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,Abbott,France,20,2025-09-01,Infections respiratoires,orale,Allergie aux macrolides,Dysgueusie,Statines,A temp ambiante,J01FA09,0,0,1,0,,,1,0,2026-04-18,actif,1,,
,,,Ciflox 500mg,Ciprofloxacine,Ciflox,سيفلوكس,500,mg,comprimé,Antibiotique,Boîte de 10,9.000,7.500,6.800,9.200,6.800,9.200,5,10,50,0,0,44,10 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,Bayer,Allemagne,20,2025-08-15,Infections urinaires,orale,Tendinite,Risque de rupture tendineuse,Théophylline,A temp ambiante,J01MA02,0,0,1,0,,,1,0,2026-06-25,actif,1,,
,,,Flagyl 500mg,Metronidazole,Flagyl,فلاجيل,500,mg,comprimé,Antibiotique antiparasitaire,Boîte de 14,5.500,4.500,4.000,5.000,3.500,5.000,4,10,45,0,0,38,14 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Sanofi,France,20,2025-07-01,Infection anaérobie,orale,Neurologique,Goût métallique,Alcool,A temp ambiante,P01AB01,0,0,1,0,,,1,0,2026-02-28,actif,1,,
,,,Triflucan 150mg,Fluconazole,Triflucan,تريفلوكان,150,mg,gélule,Antifongique,Boîte de 1,5.500,4.500,4.000,8.000,5.500,8.000,5,10,35,0,0,29,1 gélule,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,100%,Pfizer,France,25,2025-06-01,Candidose,orale,Hypersensibilité,Nausées,Anticoagulants,A temp ambiante,J02AC01,0,0,1,0,,,1,0,2026-05-01,actif,1,,
,,,Zovirax 200mg,Aciclovir,Zovirax,زوفيراكس,200,mg,comprimé,Antiviral,Boîte de 25,7.000,5.800,5.200,7.000,4.800,7.000,5,10,40,0,0,33,25 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé,100%,GlaxoSmithKline,France,20,2025-09-01,Herpès,orale,Insuffisance rénale,Nausées,Probénécide,A temp ambiante,J05AB01,0,0,1,0,,,1,0,2026-07-01,actif,1,,
,,,Tamiflu 75mg,Oseltamivir,Tamiflu,تاميفلو,75,mg,gélule,Antiviral grippe,Boîte de 10,25.000,20.000,18.000,25.000,18.000,25.000,7,5,20,0,0,9,10 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,100%,Roche,Suisse,30,2025-12-31,Grippe,orale,Insuffisance rénale,Nausées,Vaccin grippal,Réfrigérateur,J05AH02,0,0,1,0,,,0,0,2026-01-15,actif,1,,
,,,Ventoline 100µg,Salbutamol,Ventoline,فنتولين,100,µg,aérosol,Bronchodilatateur,Flacon 200 doses,12.000,10.000,9.000,12.000,9.000,12.000,4,5,30,0,0,8,200 doses,,2025-01-01 00:00:00,2025-01-01 00:00:00,aérosol doseur,70%,GlaxoSmithKline,France,20,2025-08-01,Asthme,inhalation,Tachycardie,Tremblements,Bêta-bloquants,A temp ambiante,R03AC02,0,0,1,0,,,1,0,2026-03-10,actif,1,,
,,,Kenzaar 50mg,Losartan,Kenzaar,كينزار,50,mg,comprimé,Antihypertenseur,Boîte de 28,6.800,5.500,5.000,6.500,4.500,6.500,5,10,40,0,0,44,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,MSD,France,25,2025-07-01,Hypertension,orale,Sténose artère rénale,Vertiges,Anti-inflammatoires,A temp ambiante,C09CA01,0,0,1,0,,,1,0,2026-08-15,actif,1,,
,,,Controloc 40mg,Pantoprazole,Controloc,كونترولوك,40,mg,comprimé,Anti-ulcéreux,Boîte de 14,7.500,6.200,5.500,8.200,5.800,8.200,5,10,45,0,0,34,14 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé gastrorésistant,100%,Takeda,Allemagne,25,2025-09-01,RGO,orale,Hypersensibilité,Céphalées,Clopidogrel,A temp ambiante,A02BC02,0,0,1,0,,,1,0,2026-09-05,actif,1,,
,,,Inexium 20mg,Esoméprazole,Inexium,إينيكسيوم,20,mg,comprimé,Anti-ulcéreux,Boîte de 14,8.500,7.000,6.500,9.500,6.500,9.500,5,10,35,0,0,26,14 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé gastrorésistant,100%,AstraZeneca,France,25,2025-10-01,RGO,orale,Hypersensibilité,Nausées,Clopidogrel,A temp ambiante,A02BC05,0,0,1,0,,,1,0,2026-10-10,actif,1,,
,,,Soprol 5mg,Bisoprolol,Soprol,سوبرول,5,mg,comprimé,Bêta-bloquant,Boîte de 28,5.800,4.800,4.200,5.500,3.800,5.500,5,10,40,0,0,31,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Merck,France,25,2025-07-01,Hypertension,orale,Bradycardie,Fatigue,Insuline,A temp ambiante,C07AB07,0,0,1,0,,,1,0,2026-07-20,actif,1,,
,,,Crestor 10mg,Rosuvastatine,Crestor,كريستور,10,mg,comprimé,Hypolipémiant,Boîte de 28,10.000,8.500,7.800,11.500,7.800,11.500,6,5,30,0,0,18,28 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,AstraZeneca,France,25,2025-08-01,Hypercholestérolémie,orale,Hépatopathie active,Douleurs musculaires,Fibrates,A temp ambiante,C10AA07,0,0,1,0,,,1,0,2026-06-30,actif,1,,
,,,Lasilix 40mg,Furosémide,Lasilix,لازيليكس,40,mg,comprimé,Diurétique,Boîte de 20,3.500,2.800,2.500,3.800,2.500,3.800,4,10,45,1,0,44,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Sanofi,France,20,2025-09-01,Œdème,orale,Insuffisance rénale,Déshydratation,Aminoglycosides,A temp ambiante,C03CA01,0,0,1,0,,,1,0,2026-08-05,actif,1,,
,,,Aldactone 50mg,Spironolactone,Aldactone,ألداكتون,50,mg,comprimé,Diurétique épargneur,Boîte de 20,5.500,4.500,4.000,6.000,4.200,6.000,5,10,35,0,0,29,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Pfizer,France,20,2025-10-01,Insuffisance cardiaque,orale,Insuffisance rénale,Gynécomastie,AINS,A temp ambiante,C03DA01,0,0,1,0,,,1,0,2026-09-25,actif,1,,
,,,Coumadine 5mg,Warfarine,Coumadine,كومادين,5,mg,comprimé,Anticoagulant,Boîte de 30,4.500,3.500,3.000,3.200,2.200,3.200,5,10,40,0,0,29,30 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Sanofi,France,30,2025-06-01,Prévention thromboembolique,orale,Hémorragie,Risque hémorragique,Multiples,A temp ambiante,B01AA03,0,0,1,0,,,1,0,2026-05-15,actif,1,,
,,,Lovenox 40mg,Enoxaparine,Lovenox,لوفينوكس,40,mg,injectable,Anticoagulant,Seringue préremplie,32.000,28.000,25.000,32.000,22.000,32.000,7,5,20,0,0,7,10 seringues,,2025-01-01 00:00:00,2025-01-01 00:00:00,solution injectable,100%,Sanofi,France,30,2025-07-01,Prévention post-op,orale,Thrombopénie,Hématome,Antiagrégants,Réfrigérateur,B01AB05,0,0,1,0,,,0,0,2026-02-28,actif,1,,
,,,Lévothyrox 100µg,Levothyroxine,Lévothyrox,ليفوثيروكس,100,µg,comprimé,Hormone thyroïdienne,Boîte de 50,5.000,4.200,3.800,4.800,3.200,4.800,5,10,45,0,0,38,50 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,Merck,Allemagne,30,2025-12-31,Hypothyroïdie,orale,Hyperthyroïdie non traitée,Palpitations,Antidiabétiques,A temp ambiante,H03AA01,0,0,1,0,,,1,0,2026-10-01,actif,1,,
,,,Xyzall 5mg,Lévocétirizine,Xyzall,إكزيزال,5,mg,comprimé,Antihistaminique,Boîte de 20,7.500,6.200,5.500,6.500,4.500,6.500,4,10,50,0,0,47,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,70%,UCB,Belgique,20,2025-08-01,Allergie,orale,Insuffisance rénale,Somnolence,Alcool,A temp ambiante,R06AE09,0,0,1,0,,,1,0,2026-07-15,actif,1,,
,,,Tussidane 15mg,Dextrométhorphane,Tussidane,توسيدان,15,mg,gélule,Antitussif,Boîte de 20,5.000,4.200,3.800,4.800,3.200,4.800,4,10,50,0,0,33,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Sanofi,France,20,2025-09-01,Toux sèche,orale,Insuffisance respiratoire,Somnolence,IMAO,A temp ambiante,R05DA09,0,0,1,0,,,1,0,2026-06-20,actif,1,,
,,,Exomuc 200mg,Acétylcystéine,Exomuc,إكسوموك,200,mg,sachet,Mucolytique,Boîte de 20,6.500,5.200,4.800,4.600,3.200,4.600,4,10,50,0,0,41,20 sachets,,2025-01-01 00:00:00,2025-01-01 00:00:00,poudre effervescente,70%,Sanofi,France,20,2025-10-01,Toux grasse,orale,Ulcère,Nausées,Antitussifs,A temp ambiante,R05CB01,0,0,1,0,,,1,0,2026-08-10,actif,1,,
,,,Clarityne 10mg,Loratadine,Clarityne,كلاريتين,10,mg,comprimé,Antihistaminique,Boîte de 20,6.000,5.000,4.500,5.200,3.500,5.200,4,10,60,0,0,47,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,70%,MSD,France,20,2025-08-01,Allergie,orale,Hypersensibilité,Céphalées,Aucune,A temp ambiante,R06AX13,0,0,1,0,,,1,0,2026-09-01,actif,1,,
,,,Telfast 120mg,Fexofénadine,Telfast,تيلفاست,120,mg,comprimé,Antihistaminique,Boîte de 20,8.500,7.000,6.500,8.500,5.800,8.500,5,10,40,0,0,28,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,70%,Sanofi,France,20,2025-09-01,Rhinite allergique,orale,Insuffisance rénale,Somnolence,Alcool,A temp ambiante,R06AX26,0,0,1,0,,,1,0,2026-07-30,actif,1,,
,,,Profénid 100mg,Kétoprofène,Profénid,بروفينيد,100,mg,gélule,Anti-inflammatoire,Boîte de 20,6.800,5.500,5.000,6.500,4.500,6.500,5,10,45,0,0,28,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Sanofi,France,25,2025-06-01,Courbatures,orale,Ulcère,Gastrite,AINS,A temp ambiante,M01AE03,0,0,1,0,,,1,0,2026-04-01,actif,1,,
,,,Nalésine 500mg,Naproxène,Nalésine,ناليزين,500,mg,comprimé,Anti-inflammatoire,Boîte de 20,8.500,7.200,6.500,9.000,6.200,9.000,5,5,35,0,0,24,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,70%,Pfizer,France,25,2025-07-01,Dysménorrhée,orale,Ulcère,Nausées,AINS,A temp ambiante,M01AE02,0,0,1,0,,,1,0,2026-05-15,actif,1,,
,,,Colchimax 1mg,Colchicine,Colchimax,كولشيماكس,1,mg,comprimé,Anti-goutteux,Boîte de 20,5.500,4.500,4.000,5.200,3.500,5.200,5,10,35,0,0,18,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,70%,Laborex,Tunisie,30,2025-09-01,Goutte,orale,Insuffisance rénale,Diarrhée,Statines,A temp ambiante,M04AC01,0,0,1,0,,,1,0,2026-03-20,actif,1,,
,,,Zyloric 300mg,Allopurinol,Zyloric,زايلوريك,300,mg,comprimé,Anti-urique,Boîte de 30,5.200,4.200,3.800,5.500,3.800,5.500,5,10,45,0,0,33,30 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,GlaxoSmithKline,France,30,2025-10-01,Hyperuricémie,orale,Hypersensibilité,Rash,Azathioprine,A temp ambiante,M04AA01,0,0,1,0,,,1,0,2026-08-20,actif,1,,
,,,Débridat 200mg,Trimébutine,Débridat,ديبريدات,200,mg,gélule,Antispasmodique,Boîte de 30,8.000,6.500,6.000,8.000,5.500,8.000,5,10,40,0,0,28,30 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Pfizer,France,20,2025-07-01,Syndrome intestin irritable,orale,Hypersensibilité,Sécheresse buccale,Aucune,A temp ambiante,A03AB,0,0,1,0,,,1,0,2026-06-10,actif,1,,
